"Asociación","Actividad Subvencionada ","Importe"
"AMPA PARQUE CATALUÑA","MULTIDEPORTE",400
"AMPA PARQUE CATALUÑA","GRADUACIÓN",130
"AMPA PARQUE CATALUÑA","FIESTA FIN DE CURSO",995
"AMPA PARQUE CATALUÑA","PARTICIPACIÓN FAPA",64
"AMPA PARQUE CATALUÑA","NAVIDAD",455
"AMPA PARQUE CATALUÑA","DIA DEL LIBRO","175.44"
"AMPA PROFESOR TIERNO GALVÁN","FIESTA FIN DE CURSO",300
"AMPA PROFESOR TIERNO GALVÁN","FAPA",80
"AMPA PROFESOR TIERNO GALVÁN","DIA DEL LIBRO",306
"AMPA PROFESOR TIERNO GALVÁN","DIA DE SAN ISIDRO",100
"AMPA PROFESOR TIERNO GALVÁN","CONCURSO DE CHRISTMAS",250
"AMPA PROFESOR TIERNO GALVÁN","FIESTA NAVIDAD",250
"AMPA SEIS DE DICIEMBRE","EXCURSION GRANJA TALAMANCA",476
"AMPA SEIS DE DICIEMBRE","NAVIDAD",320
"AMPA SEIS DE DICIEMBRE","CUENTACUENTOS AMBIENTALES",280
"AMPA SEIS DE DICIEMBRE","FIN DE CURSO",256
"AMPA SEIS DE DICIEMBRE","FESTIVAL FIN DE CURSO",100
"AMPA SEIS DE DICIEMBRE","AGENDA ESCOLAR",518
"AMPA VALDEPALITOS","VISITA MUSEO DEL VIDRIO","385.5"
"AMPA VALDEPALITOS","SALIDAS CULTURALES EN FAMILIA",490
"AMPA VALDEPALITOS","TALLER EXTRAESCOLAR DISFRACES",190
"AMPA VALDEPALITOS","TALLER EXTRAESCOLAR DANZA ESPAÑOLA",190
"AMPA VALDEPALITOS","TALLER EXTRAESCOLAR DANZA MODERNA",90
"AMPA VALDEPALITOS","FIESTA FIN DE CURSO",690
"AMPA VALDEPALITOS","FESTIVAL DANZA Y TEATRO",210
"AMPA VALDEPALITOS","CEREMONIA GRADUACION 6º PRIMARIA",170
"AMPA VALDEPALITOS","ORLA PARA 6º PRIMARIA",110
"AMPA VALDEPALITOS","CEREMONIA GRADUACION INFANTIL",180
"AMPA VALDEPALITOS","BOLETIN APA",260
"AMPA VALDEPALITOS","PARTICIPACION FAPA ALCOBENDAS",64
"AMPA VALDEPALITOS","PARTICIPACION FESTIVAL FAPA",260
"AMPA VALDEPALITOS","PARTICIPACION FAPA GINER DE LOS RIOS",160
"AMPA VALDEPALITOS","FIESTA DE NAVIDAD",180
"AMPA VALDEPALITOS","TORNEO MULTIDEPORTE",120
"AMPA VALDEPALITOS","SEMANA CULTURAL",180
"AMPA LA CHOPERA","SEMANA DEL LIBRO",990
"AMPA LA CHOPERA","TALLER DE MUSICA",120
"AMPA LA CHOPERA","FIESTA GRADUACION",320
"AMPA EL CUQUILLO","SEMANA DEL LIBRO",610
"AMPA EL CUQUILLO","DIA DE LA INFANCIA",150
"AMPA EL CUQUILLO","FIESTA FIN DE CURSO Y GRADUACION",368
"AMPA EL CUQUILLO","FIESTA NAVIDAD","379.83"
"AMPA VALDELAPARRA","SEMANA DEL LIBRO Y FERIA DEL LIBRO",685
"AMPA VALDELAPARRA","EL HUERTO",70
"AMPA VALDELAPARRA","TALLER DEL NIDO",95
"AMPA VALDELAPARRA","FIESTA GRADUACION",670
"AMPA VALDELAPARRA","QUERIDOS REYES MAGOS",590
"AMPA VALDELAPARRA","FERIA DE LAS ASOCIACIONES",150
"AMPA VALDELAPARRA","SAN ISIDRO",205
"AMPA RIVENDEL","DIA DE LA PAZ",230
"AMPA RIVENDEL","SEMANA CULTURAL Y DIA DEL LIBRO",794
"AMPA RIVENDEL","VISITA GRANJA ESCUELA",115
"AMPA RIVENDEL","FIESTA FIN DE CURSO",700
"AMPA RIVENDEL","PERTENENCIA A LA FAPA",64
"AMPA RIVENDEL","CARNAVAL",157
"AMPA RIVENDEL","BELEN NAVIDEÑO",40
"AMPA RIVENDEL","FIESTA DE NAVIDAD",100
"AMPA AGORA","PREMIOS AL RENDIMIENTO, SUPERACIÓN Y CONVICENCIA","501.67"
"AMPA AGORA","ANIMACION A LA LECTURA",560
"AMPA AGORA","SALIDA AL TEATRO",240
"AMPA AGORA","EXCURSION CULTURAL VISITA CORRALAS DE MADRID",120
"AMPA AGORA","CONCURSO FOTOGRAFICO CONSTITUCION",160
"AMPA AGORA","ACTO DE GRADUACIÓN",300
"AMPA AGORA","INTERCAMBIO DE LIBROS DE TEXTO",80
"AMPA AGORA","JORNADA DE CONVIVENCIA",250
"AMPA AGORA","MILLA ESCOLAR",210
"AMPA ALDEBARAN","PREMIOS AL RENDIMIENTO, SUPERACIÓN Y CONVIVENCIA","980.05"
"AMPA ALDEBARAN","ANIMACION A LA LECTURA",302
"AMPA ALDEBARAN","PRACTICANDO IDIOMAS",278
"AMPA ALDEBARAN","CONCURSO DE TARJETAS NAVIDEÑAS",190
"AMPA ALDEBARAN","GRADUACION ALUMNOS BACHILLER",220
"AMPA ALDEBARAN","BOLETIN INFORMATIVO",587
"AMPA ALDEBARAN","PARTICIPACION EN FAPAS",260
"AMPA ALDEBARAN","TALLER CHAPAS E IMANES",290
"AMPA GINER DE LOS RIOS","CERTAMEN TARJETA NAVIDAD",673
"AMPA GINER DE LOS RIOS","CERTAMEN DE RELATO Y POESIA",320
"AMPA GINER DE LOS RIOS","CERTAMEN RECREANDO EL JARDIN DEL GINER",160
"AMPA GINER DE LOS RIOS","CERTAMEN ENSAYO FILOSOFICO RAQUEL PUSZKIN",120
"AMPA GINER DE LOS RIOS","CEREMONIA GRADUACION BACHILLERATO",270
"AMPA GINER DE LOS RIOS","LIBRO DE RELATO Y POESIAS LA PLUMA LITERARIA",290
"AMPA GINER DE LOS RIOS","PARTICIPACION FAPA ALCOBENDAS Y FAPA MADRID",225
"AMPA SEVERO OCHOA","TALLER DE MOTIVACION Y AUTOESTIMA","981.97"
"AMPA SEVERO OCHOA","TALLER DE TECNICAS DE ESTUDIO",600
"AMPA SEVERO OCHOA","CONFERENCIA COLOQUIO SOBRE PREVENCION DEL FRACASO ESCOLAR",450
"AMPA SEVERO OCHOA","EXPOSICION Y EDICION ALBUM FOTOGRAFICO INTERCAMBIO EEUU",340
"AMPA SEVERO OCHOA","EXCURSION FIN DE CURO A PARQUE ECO-AVENTURA",480
"AMPA SEVERO OCHOA","GRADUACION CICLOS Y BACHILLERATOS",240
"AMPA SEVERO OCHOA","FERIA DE ASOCIACIONES DE ALCOBENDAS",40
"AMPA SEVERO OCHOA","PERTENENCIA A FAPA ALCOBENDAS",64
"AMPA SEVERO OCHOA","TORNEO DE AJEDREZ",48
"AMPA SEVERO OCHOA","FIESTA DE NAVIDAD",320
"AMPA VIRGEN DE LA PAZ","JORNADA LUDICO DEPORTIVA FIN DE CURSO","927.45"
"AMPA VIRGEN DE LA PAZ","PARTICIPACION FAPA ALCOBENDAS Y GINER DE LOS RIOS",176
"AMPA VIRGEN DE LA PAZ","ACTO DE GRADUACIÓN",121
"AMPA VIRGEN DE LA PAZ","PARTICIPACION EN FERIA DE LAS ASOCIACIONES",40
"AMPA VIRGEN DE LA PAZ","TORNEO DEPORTIVO FUTBOL SALA",152
"AMPA JUAN XXIII","TALLER DE MANUALIDADES",800
"AMPA JUAN XXIII","TALLER DE JUEGOS DIDACTICOS",448
"AMPA JUAN XXIII","TALLER DE MAGIA","533.98"
"AMPA SAN ANTONIO","GRANJA ESCUELA",895
"AMPA SAN ANTONIO","VISITA AL PARQUE DE AVENTURAS AMAZONIA",576
"AMPA SAN ANTONIO","ASISTENCIA AL CIRCO MUNDIAL","630.83"
"AMPA PADRE  MANYANET","FERIA DE LA SEMANA CULTURAL",800
"AMPA PADRE  MANYANET","BIBLIOTECA DE EDUCACION PRIMARIA DE LA APA","803.82"
"AMPA PADRE  MANYANET","FERIA DE ROBOTICA",720
"AMPA PADRE  MANYANET","LUDOTECA FIESTA FIN DE CURSO",372
"AMPA FAPA","JORNADA FAPA-APAS: ENCUENTROS DE PARTICIPACION",720
"AMPA FAPA","25 ANIVERSARIO FAPA ALCOBENDAS",1515
"AMPA FAPA","REVISTA DE LA FEDERACION ""LA ESCUELA EN ALCOBENDAS","963.43"
